burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
0.1,816.3,2,0.138574,0.0602847,0.0782895,0.190806,1.02743,0.00210815,0.324433
0.1,867.4,2,0.139105,0.0608727,0.0782326,0.190667,1.02723,0.00211511,0.324499
0.1,918.4,2,0.139635,0.0614587,0.078176,0.190529,1.02702,0.00212204,0.324563
0.1,51.0,2,0.130527,0.0513613,0.0791656,0.192938,1.0308,0.00200211,0.323373
0.1,969.4,2,0.140163,0.0620437,0.0781195,0.190392,1.02682,0.00212896,0.324627
0.1,1020.4,2,0.140691,0.0626274,0.0780635,0.190255,1.02662,0.00213586,0.32469
0.1,1071.4,2,0.141218,0.063211,0.0780072,0.190118,1.02642,0.00214275,0.324752
0.1,1122.5,2,0.141746,0.0637944,0.0779512,0.189982,1.02623,0.00214964,0.324814
0.1,1173.5,2,0.142271,0.0643757,0.0778955,0.189846,1.02603,0.00215649,0.324875
0.1,1224.5,2,0.142796,0.0649561,0.07784,0.189711,1.02584,0.00216334,0.324936
0.1,1275.5,2,0.14332,0.0655357,0.0777847,0.189577,1.02565,0.00217017,0.324996
0.1,1326.5,2,0.143844,0.0661143,0.0777296,0.189442,1.02547,0.00217698,0.325055
0.1,1377.6,2,0.144368,0.0666932,0.0776745,0.189308,1.02528,0.0021838,0.325114
0.1,1428.6,2,0.14489,0.06727,0.0776198,0.189175,1.0251,0.00219059,0.325172
0.1,102.0,2,0.131069,0.0519629,0.0791058,0.192793,1.03056,0.00200929,0.323449
0.1,1479.6,2,0.145412,0.0678461,0.0775656,0.189043,1.02492,0.00219735,0.325229
0.1,1530.6,2,0.145932,0.0684208,0.0775113,0.188911,1.02474,0.0022041,0.325286
0.1,1581.6,2,0.146452,0.0689954,0.077457,0.188779,1.02456,0.00221085,0.325342
0.1,1632.7,2,0.146973,0.0695698,0.0774028,0.188647,1.02439,0.0022176,0.325397
0.1,1683.7,2,0.147491,0.070142,0.0773491,0.188516,1.02422,0.00222431,0.325452
0.1,1734.7,2,0.148009,0.0707136,0.0772954,0.188385,1.02405,0.00223101,0.325506
0.1,1785.7,2,0.148526,0.0712844,0.0772419,0.188255,1.02388,0.0022377,0.32556
0.1,1836.7,2,0.149043,0.0718543,0.0771885,0.188125,1.02371,0.00224438,0.325613
0.1,1887.8,2,0.14956,0.0724245,0.0771353,0.187996,1.02355,0.00225105,0.325665
0.1,1938.8,2,0.150075,0.0729927,0.0770823,0.187867,1.02338,0.0022577,0.325717
